GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US01030,01030,ZCTA5 01030,64874,6075,83832,8078,102444,11377,27308,11531
8600000US01031,01031,ZCTA5 01031,39327,11379,60167,16054,58542,8096,20417,6489
8600000US01032,01032,ZCTA5 01032,73750,12101,80208,30080,81250,44249,35000,7223
8600000US01033,01033,ZCTA5 01033,86951,5593,94083,16469,104107,14235,30329,14841
8600000US01034,01034,ZCTA5 01034,82159,4694,85602,5306,87813,8358,51250,11623
8600000US01035,01035,ZCTA5 01035,62634,8903,93039,22431,96667,17857,47167,9821
8600000US01036,01036,ZCTA5 01036,80375,11277,87768,8208,95556,12664,27031,9897
8600000US01037,01037,ZCTA5 01037,80417,19321,91953,39104,91953,39104,67734,25042
8600000US01038,01038,ZCTA5 01038,65887,8431,77708,9225,79653,4773,46071,23181
8600000US01039,01039,ZCTA5 01039,74107,17616,90819,5180,95893,12710,30000,13310
8600000US01040,01040,ZCTA5 01040,38829,2888,45598,3039,75420,5654,25720,6369
8600000US01050,01050,ZCTA5 01050,72386,12521,81220,4326,83214,8465,35096,9677
8600000US01053,01053,ZCTA5 01053,66528,18729,82604,27607,103750,30527,33611,30094
8600000US01054,01054,ZCTA5 01054,86771,8268,99659,11871,111250,27816,45833,17166
8600000US01056,01056,ZCTA5 01056,64537,5694,76472,7570,88149,10706,31953,3142
8600000US01057,01057,ZCTA5 01057,74439,6672,86181,7245,95565,7511,45815,10843
8600000US01060,01060,ZCTA5 01060,56128,4044,86230,7486,96250,7690,36649,4393
8600000US01062,01062,ZCTA5 01062,73913,9215,96554,8470,112956,7339,42833,10657
8600000US01063,01063,ZCTA5 01063,-,**,-,**,-,**,-,**
